result_r,file
2.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
2.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
-1.0,"FX_EURJPY, 5_abeeb.csv"
0.0,"FX_EURJPY, 5_abeeb.csv"
