file,symbol,index,utc_time,local_time,direction,entry,sl,tp,bars_held,outcome_r,reason
"FX_EURJPY, 5_abeeb.csv",EURJPY,20,2025-05-25 22:40:00+00:00,2025-05-25 17:10:00+00:00,BUY,162.442000,162.198286,162.929429,45,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,32,,,BUY,162.593000,162.466571,162.845857,33,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,80,,,BUY,163.455000,163.370000,163.625000,50,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,104,,,BUY,163.601000,163.519286,163.764429,2,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,164,,,SELL,163.753000,163.862857,163.533286,9,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,188,,,SELL,163.355000,163.525429,163.014143,50,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,224,,,SELL,163.148000,163.219429,163.005143,13,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,260,,,BUY,163.757000,163.659571,163.951857,9,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,272,,,BUY,163.802000,163.708286,163.989429,2,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,320,,,BUY,164.235000,163.863429,164.978143,26,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,356,,,BUY,164.925000,164.754571,165.265857,60,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,380,,,BUY,165.159000,165.071857,165.333286,5,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,440,,,BUY,165.559000,165.485429,165.706143,6,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,452,,,BUY,166.067000,165.859714,166.481571,83,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,488,,,BUY,166.257000,166.103143,166.564714,6,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,524,,,SELL,166.194000,166.286714,166.008571,2,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,572,2025-05-27 20:45:00+00:00,2025-05-27 15:15:00+00:00,BUY,167.328000,167.147143,167.689714,14,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,584,2025-05-27 21:45:00+00:00,2025-05-27 16:15:00+00:00,SELL,167.197000,167.295714,166.999571,12,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,596,2025-05-27 22:45:00+00:00,2025-05-27 17:15:00+00:00,SELL,166.778000,166.958714,166.416571,62,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,608,,,SELL,166.773000,166.970286,166.378429,60,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,680,,,BUY,167.138000,166.924714,167.564571,23,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,704,,,BUY,168.285000,168.048143,168.758714,5,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,740,,,BUY,169.183000,168.947714,169.653571,35,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,848,,,SELL,168.956000,169.102714,168.662571,35,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,860,2025-05-28 20:45:00+00:00,2025-05-28 15:15:00+00:00,SELL,168.819000,168.983429,168.490143,12,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,884,2025-05-28 22:45:00+00:00,2025-05-28 17:15:00+00:00,BUY,169.474000,169.282143,169.857714,5,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,896,,,BUY,169.298000,169.100143,169.693714,24,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,956,,,SELL,169.299000,169.395714,169.105571,33,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,968,,,SELL,169.250000,169.325571,169.098857,4,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,992,,,BUY,169.486000,169.388429,169.681143,10,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1040,,,BUY,170.392000,170.302286,170.571429,3,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1064,,,SELL,170.174000,170.315714,169.890571,27,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1088,,,BUY,170.297000,170.217857,170.455286,3,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1124,,,BUY,171.362000,171.216143,171.653714,3,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1136,,,BUY,171.760000,171.588857,172.102286,27,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1148,2025-05-29 20:45:00+00:00,2025-05-29 15:15:00+00:00,BUY,171.904000,171.803571,172.104857,15,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1208,,,SELL,171.032000,171.159429,170.777143,9,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1244,,,BUY,171.705000,171.364286,172.386429,26,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1268,,,BUY,171.973000,171.807286,172.304429,2,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1280,,,BUY,172.304000,172.161571,172.588857,26,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1316,,,BUY,172.671000,172.566429,172.880143,26,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1328,,,BUY,172.759000,172.684000,172.909000,14,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1352,,,SELL,171.984000,172.160000,171.632000,25,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1388,,,BUY,172.321000,172.214286,172.534429,25,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1400,,,BUY,172.371000,172.299571,172.513857,7,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1412,,,BUY,172.360000,172.276286,172.527429,1,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1472,,,BUY,172.333000,172.264000,172.471000,20,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1496,,,SELL,172.250000,172.326571,172.096857,5,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1520,,,BUY,172.441000,172.200000,172.923000,53,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1556,,,BUY,172.716000,172.568429,173.011143,5,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1568,,,BUY,172.727000,172.522000,173.137000,23,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1580,,,BUY,172.831000,172.709429,173.074143,11,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1640,,,SELL,172.157000,172.468571,171.533857,23,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1664,,,SELL,171.459000,171.630714,171.115571,35,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1676,,,SELL,171.354000,171.530429,171.001143,19,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1724,2025-06-02 21:20:00+00:00,2025-06-02 15:50:00+00:00,BUY,170.588000,170.492714,170.778571,11,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1736,2025-06-02 22:20:00+00:00,2025-06-02 16:50:00+00:00,BUY,172.117000,171.827143,172.696714,35,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1772,,,SELL,170.760000,171.092429,170.095143,43,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1784,,,SELL,170.576000,170.937000,169.854000,95,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1796,,,SELL,170.499000,170.656000,170.185000,11,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1868,,,BUY,170.845000,170.774714,170.985571,11,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1880,,,BUY,171.744000,171.526714,172.178571,35,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1892,,,BUY,171.838000,171.539286,172.435429,23,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1952,,,BUY,172.031000,171.827000,172.439000,4,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,1964,,,BUY,171.916000,171.785286,172.177429,54,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,1976,,,BUY,172.057000,171.947143,172.276714,12,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,2012,2025-06-03 21:20:00+00:00,2025-06-03 15:50:00+00:00,BUY,172.118000,172.040571,172.272857,6,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,2060,,,SELL,172.470000,172.563714,172.282571,30,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,2084,,,SELL,172.360000,172.430143,172.219714,6,2.000000,TP
"FX_EURJPY, 5_abeeb.csv",EURJPY,2156,,,BUY,172.466000,172.378714,172.640571,12,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,2180,,,BUY,172.529000,172.423714,172.739571,14,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,2204,,,SELL,171.889000,172.062429,171.542143,62,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,2276,,,BUY,172.203000,172.044571,172.519857,32,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,2312,2025-06-04 22:20:00+00:00,2025-06-04 16:50:00+00:00,SELL,172.102000,172.240571,171.824857,17,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,2336,,,BUY,172.390000,172.293286,172.583429,1,-1.000000,SL
"FX_EURJPY, 5_abeeb.csv",EURJPY,2348,,,SELL,171.628000,171.842286,171.199429,120,0.000000,EXPIRED
