time,open,high,low,close,Pattern Alert,Volume
1747605600,173.818,173.818,173.619,173.718,0,657
1747605900,173.718,173.791,173.676,173.757,0,510
1747606200,173.757,173.763,173.67,173.682,0,685
1747606500,173.682,173.819,173.646,173.709,0,744
1747606800,173.709,173.786,173.681,173.729,0,646
1747607100,173.729,173.781,173.707,173.77,0,486
1747607400,173.77,173.843,173.764,173.832,0,675
1747607700,173.832,173.9,173.802,173.88,0,447
1747608000,173.88,173.895,173.843,173.88,0,376
1747608300,173.88,173.891,173.841,173.844,0,324
1747608600,173.844,173.882,173.786,173.806,0,266
1747608900,173.806,173.891,173.805,173.867,0,336
1747609200,173.867,173.902,173.835,173.849,0,512
1747609500,173.849,173.893,173.829,173.891,0,534
1747609800,173.891,173.896,173.858,173.883,0,434
1747610100,173.883,173.897,173.869,173.881,0,345
1747610400,173.881,173.923,173.879,173.915,0,435
1747610700,173.915,173.939,173.896,173.926,0,395
1747611000,173.926,173.998,173.92,173.969,0,502
1747611300,173.969,174.051,173.953,174.028,0,639
1747611600,174.028,174.09,173.971,174.005,0,949
1747611900,174.005,174.017,173.938,173.967,0,767
1747612200,173.967,173.973,173.892,173.908,0,766
1747612500,173.908,173.911,173.842,173.842,0,807
1747612800,173.842,173.898,173.799,173.801,0,1713
1747613100,173.801,173.944,173.8,173.91,0,1613
1747613400,173.91,173.968,173.885,173.899,0,1147
1747613700,173.899,173.899,173.829,173.883,0,1427
1747614000,173.883,173.906,173.843,173.855,0,1092
1747614300,173.855,173.864,173.791,173.842,0,1158
1747614600,173.842,173.85,173.706,173.734,0,1355
1747614900,173.734,173.777,173.696,173.711,0,1502
1747615200,173.711,173.731,173.674,173.703,0,1533
1747615500,173.703,173.724,173.629,173.634,0,1169
1747615800,173.634,173.673,173.581,173.59,0,3363
1747616100,173.59,173.625,173.511,173.554,0,1851
1747616400,173.554,173.566,173.465,173.552,0,1855
1747616700,173.552,173.559,173.472,173.502,0,1314
1747617000,173.502,173.569,173.48,173.566,0,1260
1747617300,173.566,173.644,173.556,173.624,0,1665
1747617600,173.624,173.675,173.556,173.564,0,1392
1747617900,173.564,173.585,173.527,173.555,0,954
1747618200,173.555,173.58,173.496,173.507,0,1512
1747618500,173.507,173.547,173.459,173.478,0,1236
1747618800,173.478,173.532,173.449,173.476,0,1779
1747619100,173.476,173.503,173.455,173.496,0,1250
1747619400,173.496,173.532,173.477,173.486,0,1075
1747619700,173.486,173.556,173.476,173.5,0,1343
1747620000,173.5,173.624,173.493,173.619,0,1174
1747620300,173.619,173.695,173.61,173.636,0,1067
1747620600,173.636,173.675,173.582,173.588,0,1266
1747620900,173.588,173.671,173.555,173.655,0,902
1747621200,173.655,173.754,173.646,173.75,0,821
1747621500,173.75,173.769,173.677,173.74,0,1275
1747621800,173.74,173.765,173.691,173.706,0,1174
1747622100,173.706,173.744,173.688,173.695,0,1890
1747622400,173.695,173.796,173.692,173.77,0,841
1747622700,173.77,173.81,173.745,173.777,0,832
1747623000,173.777,173.794,173.73,173.748,0,905
1747623300,173.748,173.824,173.739,173.815,0,826
1747623600,173.815,173.815,173.748,173.753,0,863
1747623900,173.753,173.78,173.673,173.735,0,850
1747624200,173.735,173.739,173.639,173.653,0,679
1747624500,173.653,173.672,173.636,173.653,0,1588
1747624800,173.653,173.674,173.637,173.653,0,592
1747625100,173.653,173.688,173.637,173.671,0,711
1747625400,173.671,173.712,173.648,173.684,0,776
1747625700,173.684,173.708,173.664,173.665,0,749
1747626000,173.665,173.72,173.663,173.692,0,700
1747626300,173.692,173.739,173.68,173.723,0,649
1747626600,173.723,173.752,173.718,173.721,0,1174
1747626900,173.721,173.763,173.696,173.719,0,961
1747627200,173.719,173.749,173.705,173.735,0,693
1747627500,173.735,173.752,173.702,173.714,0,1043
1747627800,173.714,173.773,173.696,173.728,0,1436
1747628100,173.728,173.807,173.728,173.784,0,564
1747628400,173.784,173.832,173.774,173.832,0,516
1747628700,173.832,173.847,173.761,173.783,0,691
1747629000,173.783,173.799,173.702,173.707,0,697
1747629300,173.707,173.749,173.682,173.694,0,804
1747629600,173.694,173.711,173.679,173.702,0,706
1747629900,173.702,173.758,173.7,173.732,0,629
1747630200,173.732,173.766,173.725,173.744,0,621
1747630500,173.744,173.756,173.714,173.736,0,709
1747630800,173.736,173.754,173.704,173.705,0,746
1747631100,173.705,173.737,173.655,173.691,0,704
1747631400,173.691,173.705,173.642,173.643,0,585
1747631700,173.643,173.685,173.629,173.633,0,631
1747632000,173.633,173.639,173.577,173.588,0,847
1747632300,173.588,173.61,173.58,173.604,0,578
1747632600,173.604,173.639,173.591,173.633,0,715
1747632900,173.633,173.666,173.617,173.621,0,659
1747633200,173.621,173.671,173.61,173.663,0,877
1747633500,173.663,173.72,173.659,173.682,0,827
1747633800,173.682,173.695,173.655,173.665,0,958
1747634100,173.665,173.681,173.63,173.631,0,1249
1747634400,173.631,173.673,173.612,173.664,0,1133
1747634700,173.664,173.723,173.658,173.701,0,1045
1747635000,173.701,173.768,173.688,173.75,0,997
1747635300,173.75,173.778,173.695,173.701,0,1233
1747635600,173.701,173.737,173.66,173.686,0,1168
1747635900,173.686,173.741,173.68,173.718,0,1822
1747636200,173.718,173.742,173.68,173.703,0,1402
1747636500,173.703,173.72,173.603,173.603,0,1086
1747636800,173.603,173.673,173.587,173.655,0,940
1747637100,173.655,173.666,173.614,173.651,0,1022
1747637400,173.651,173.779,173.646,173.75,0,1061
1747637700,173.75,173.859,173.724,173.795,0,1347
1747638000,173.795,173.828,173.749,173.795,0,1764
1747638300,173.795,173.897,173.795,173.874,0,1798
1747638600,173.874,173.899,173.761,173.832,0,1444
1747638900,173.832,173.908,173.811,173.883,0,1162
1747639200,173.883,173.913,173.819,173.864,0,1323
1747639500,173.864,173.911,173.755,173.783,0,1308
1747639800,173.783,173.838,173.714,173.743,0,1913
1747640100,173.743,173.757,173.602,173.625,0,1387
1747640400,173.625,173.738,173.618,173.693,0,1884
1747640700,173.693,173.706,173.63,173.655,1,1380
1747641000,173.655,173.735,173.65,173.691,0,1240
1747641300,173.691,173.757,173.675,173.757,0,1308
1747641600,173.757,173.827,173.746,173.796,0,1654
1747641900,173.796,173.806,173.761,173.761,0,1710
1747642200,173.761,173.808,173.746,173.768,0,1190
1747642500,173.768,173.836,173.768,173.813,0,1093
1747642800,173.813,173.861,173.784,173.809,0,987
1747643100,173.809,173.841,173.789,173.811,0,996
1747643400,173.811,173.837,173.759,173.802,0,1027
1747643700,173.802,173.855,173.782,173.789,0,917
1747644000,173.789,173.796,173.742,173.749,0,917
1747644300,173.749,173.797,173.73,173.792,0,911
1747644600,173.792,173.836,173.76,173.807,0,1218
1747644900,173.807,173.847,173.793,173.843,0,1061
1747645200,173.843,173.848,173.794,173.821,0,1093
1747645500,173.821,173.84,173.724,173.739,0,1360
1747645800,173.739,173.812,173.736,173.795,0,1138
1747646100,173.795,173.864,173.752,173.843,0,961
1747646400,173.843,173.918,173.826,173.911,0,1009
1747646700,173.911,173.923,173.827,173.837,0,905
1747647000,173.837,173.933,173.818,173.918,0,1016
1747647300,173.918,173.935,173.847,173.875,0,962
1747647600,173.875,173.891,173.824,173.866,0,1173
1747647900,173.866,173.936,173.854,173.921,0,927
1747648200,173.921,173.924,173.861,173.886,0,973
1747648500,173.886,173.931,173.845,173.931,0,1074
1747648800,173.931,173.94,173.871,173.916,0,1195
1747649100,173.916,173.926,173.842,173.845,0,919
1747649400,173.845,173.849,173.8,173.815,0,1004
1747649700,173.815,173.875,173.797,173.831,0,1000
1747650000,173.831,173.878,173.813,173.873,0,897
1747650300,173.873,173.935,173.861,173.913,0,1007
1747650600,173.913,173.995,173.901,173.909,0,1159
1747650900,173.909,173.911,173.853,173.872,0,793
1747651200,173.872,173.891,173.851,173.876,0,824
1747651500,173.876,173.91,173.863,173.894,0,744
1747651800,173.894,173.935,173.88,173.93,0,964
1747652100,173.93,173.939,173.869,173.877,0,1018
1747652400,173.877,173.88,173.821,173.854,0,1172
1747652700,173.854,173.882,173.822,173.847,0,811
1747653000,173.847,173.966,173.841,173.926,0,774
1747653300,173.926,173.978,173.926,173.972,0,737
1747653600,173.972,173.992,173.894,173.984,0,1073
1747653900,173.984,174.008,173.956,174.006,0,900
1747654200,174.006,174.046,173.926,173.973,0,946
1747654500,173.973,174.009,173.889,173.913,0,899
1747654800,173.913,173.936,173.878,173.898,0,867
1747655100,173.898,173.907,173.826,173.851,0,812
1747655400,173.851,173.902,173.811,173.871,0,1180
1747655700,173.871,173.894,173.825,173.832,0,1013
1747656000,173.832,173.858,173.787,173.799,0,1111
1747656300,173.799,173.837,173.761,173.762,0,967
1747656600,173.762,173.846,173.754,173.836,0,962
1747656900,173.836,173.856,173.811,173.817,0,996
1747657200,173.817,173.833,173.773,173.794,0,1170
1747657500,173.794,173.85,173.786,173.819,0,1110
1747657800,173.819,173.859,173.79,173.822,0,1282
1747658100,173.822,173.847,173.797,173.824,0,996
1747658400,173.824,173.87,173.817,173.817,0,1063
