time,open,high,low,close,Pattern Alert,Volume
1750626000,1.7827000000000002,1.7827000000000002,1.78059,1.78073,0,4
1750626300,1.78073,1.7809,1.78052,1.78062,0,49
1750626600,1.78062,1.7826300000000002,1.78062,1.78191,0,85
1750626900,1.78191,1.78256,1.7811,1.7818500000000002,0,137
1750627200,1.7818500000000002,1.78269,1.7805300000000002,1.7826,0,111
1750627500,1.7826,1.78267,1.78247,1.78267,0,68
1750627800,1.78267,1.7839200000000002,1.78225,1.78366,0,137
1750628100,1.78366,1.7846300000000002,1.78357,1.78439,0,150
1750628400,1.78439,1.78451,1.7838500000000002,1.78394,0,210
1750628700,1.78394,1.78438,1.7836800000000002,1.78433,1,34
1750629000,1.78433,1.7851,1.78415,1.78479,0,189
1750629300,1.78479,1.7852,1.78471,1.78511,0,140
1750629600,1.78511,1.78781,1.78508,1.78715,0,1905
1750629900,1.78715,1.78716,1.78374,1.78451,0,1726
1750630200,1.78451,1.78572,1.7838,1.78475,0,1279
1750630500,1.78475,1.78506,1.78405,1.78476,0,1986
1750630800,1.78476,1.78539,1.78465,1.7849000000000002,0,1847
1750631100,1.7849000000000002,1.7856,1.78426,1.78549,0,1646
1750631400,1.78549,1.7857,1.78449,1.78522,0,1364
1750631700,1.78522,1.78522,1.78403,1.7841200000000002,0,1070
1750632000,1.7841200000000002,1.78415,1.7834800000000002,1.78384,0,898
1750632300,1.78384,1.78388,1.7833100000000002,1.78339,0,1027
1750632600,1.78339,1.78372,1.78321,1.78346,0,993
1750632900,1.78346,1.78404,1.78321,1.78378,0,896
1750633200,1.78378,1.78383,1.78296,1.78328,1,1568
1750633500,1.78328,1.78377,1.7830700000000002,1.78361,0,1246
1750633800,1.78361,1.78444,1.78313,1.78399,0,1190
1750634100,1.78399,1.78413,1.78306,1.78317,0,1430
1750634400,1.78317,1.78349,1.7828000000000002,1.783,0,956
1750634700,1.783,1.7836800000000002,1.78288,1.7836800000000002,0,1521
1750635000,1.7836800000000002,1.7842,1.78345,1.78389,0,1455
1750635300,1.78389,1.78439,1.7836800000000002,1.78435,0,814
1750635600,1.78435,1.78505,1.78411,1.78499,0,1253
1750635900,1.78499,1.7850700000000002,1.78437,1.78472,0,1244
1750636200,1.78472,1.78474,1.78408,1.7842,0,1298
1750636500,1.7842,1.7842,1.78374,1.78387,0,1318
1750636800,1.78387,1.78538,1.7838,1.78521,0,2326
1750637100,1.78521,1.78565,1.78479,1.78522,0,1724
1750637400,1.78522,1.78554,1.78442,1.78475,0,1714
1750637700,1.78475,1.785,1.7843,1.78454,0,1471
1750638000,1.78454,1.78494,1.78408,1.78493,0,2077
1750638300,1.78493,1.78532,1.78475,1.785,0,1633
1750638600,1.785,1.7863600000000002,1.785,1.78517,0,1828
1750638900,1.78517,1.78604,1.78517,1.78554,0,1347
1750639200,1.78554,1.78596,1.7854100000000002,1.78577,0,1466
1750639500,1.78577,1.78596,1.78521,1.78544,0,1189
1750639800,1.78544,1.78579,1.78475,1.78486,0,1637
1750640100,1.78486,1.7851400000000002,1.78441,1.78488,0,1534
1750640400,1.78488,1.78488,1.7834800000000002,1.78428,0,2251
1750640700,1.78428,1.78443,1.78386,1.78404,0,1345
