time,open,high,low,close,Pattern Alert,Volume
1750626000,196.486,196.521,196.486,196.515,0,12
1750626300,196.515,196.567,196.427,196.427,0,101
1750626600,196.427,196.472,196.357,196.357,0,164
1750626900,196.357,196.612,196.357,196.466,0,126
1750627200,196.466,196.531,196.465,196.526,0,86
1750627500,196.526,196.533,196.522,196.533,0,71
1750627800,196.533,196.533,196.474,196.479,0,2
1750628100,196.479,196.493,196.464,196.47,0,13
1750628400,196.47,196.475,196.414,196.415,0,62
1750628700,196.415,196.443,196.401,196.401,0,10
1750629000,196.401,196.402,196.394,196.4,0,16
1750629600,196.4,196.577,196.09,196.459,0,1101
1750629900,196.459,196.725,196.378,196.676,0,1200
1750630200,196.676,196.724,196.512,196.616,0,814
1750630500,196.616,196.676,196.565,196.594,0,1954
1750630800,196.594,196.605,196.512,196.597,0,2037
1750631100,196.597,196.625,196.533,196.549,0,2305
1750631400,196.549,196.581,196.494,196.566,0,2222
1750631700,196.566,196.622,196.536,196.605,0,1918
1750632000,196.605,196.633,196.562,196.628,0,1615
1750632300,196.628,196.635,196.54,196.558,0,1271
1750632600,196.558,196.56,196.516,196.541,0,1082
1750632900,196.541,196.542,196.501,196.52,0,897
1750633200,196.52,196.569,196.516,196.553,0,1388
1750633500,196.553,196.568,196.479,196.49,0,1332
1750633800,196.49,196.542,196.431,196.435,0,1685
1750634100,196.435,196.501,196.424,196.493,0,1568
1750634400,196.493,196.516,196.48,196.506,0,1425
1750634700,196.506,196.511,196.451,196.456,0,1104
1750635000,196.456,196.566,196.45,196.523,0,1456
1750635300,196.523,196.546,196.509,196.526,0,904
1750635600,196.526,196.557,196.491,196.499,0,1205
1750635900,196.499,196.504,196.458,196.474,0,1320
1750636200,196.474,196.504,196.443,196.456,0,1075
1750636500,196.456,196.478,196.404,196.421,0,1293
1750636800,196.421,196.423,196.367,196.403,0,2200
1750637100,196.403,196.424,196.295,196.418,0,2144
1750637400,196.418,196.459,196.38,196.455,0,2003
1750637700,196.455,196.516,196.445,196.49,0,1604
1750638000,196.49,196.509,196.457,196.473,0,1968
1750638300,196.473,196.494,196.458,196.49,0,1437
1750638600,196.49,196.516,196.44,196.449,0,1326
1750638900,196.449,196.452,196.396,196.404,0,1557
1750639200,196.404,196.418,196.344,196.372,0,1469
1750639500,196.372,196.479,196.371,196.426,0,1399
1750639800,196.426,196.521,196.412,196.451,0,2540
1750640100,196.451,196.578,196.443,196.553,0,1888
1750640400,196.553,196.618,196.523,196.569,0,2095
1750640700,196.569,196.612,196.546,196.58,0,1695
1750641000,196.58,196.614,196.526,196.526,0,1655
1750641300,196.526,196.555,196.5,196.512,0,1350
1750641600,196.512,196.579,196.509,196.575,0,1662
1750641900,196.575,196.675,196.575,196.652,0,1586
1750642200,196.652,196.752,196.612,196.75,0,1710
1750642500,196.75,196.864,196.748,196.833,0,1806
1750642800,196.833,196.888,196.82,196.875,0,1610
1750643100,196.875,196.928,196.859,196.9,0,1527
1750643400,196.9,196.915,196.795,196.823,0,1552
1750643700,196.823,196.849,196.784,196.849,0,1576
1750644000,196.849,196.892,196.809,196.814,0,1749
1750644300,196.814,196.82,196.724,196.737,0,1541
1750644600,196.737,196.804,196.727,196.754,0,1507
1750644900,196.754,196.758,196.679,196.711,0,1449
1750645200,196.711,196.718,196.639,196.639,0,1209
1750645500,196.639,196.669,196.628,196.661,0,1155
1750645800,196.661,196.762,196.655,196.76,0,1283
1750646100,196.76,196.819,196.728,196.812,0,1206
1750646400,196.812,196.815,196.753,196.76,0,1118
1750646700,196.76,196.829,196.738,196.792,0,1036
1750647000,196.792,196.806,196.754,196.762,0,1122
1750647300,196.762,196.801,196.731,196.746,0,1433
1750647600,196.746,196.83,196.742,196.817,0,1145
1750647900,196.817,196.862,196.746,196.765,0,1173
1750648200,196.765,196.765,196.72,196.732,0,1317
1750648500,196.732,196.8,196.727,196.764,0,1376
1750648800,196.764,196.824,196.76,196.806,0,1067
1750649100,196.806,196.878,196.792,196.797,0,1342
1750649400,196.797,196.813,196.761,196.812,0,1221
1750649700,196.812,196.85,196.79,196.81,0,1156
1750650000,196.81,196.867,196.803,196.832,0,913
1750650300,196.832,196.859,196.767,196.769,0,1004
1750650600,196.769,196.866,196.769,196.81,0,1231
1750650900,196.81,196.842,196.792,196.815,0,1145
1750651200,196.815,196.909,196.811,196.905,0,1302
