time,open,high,low,close,Pattern Alert,Volume
1748207100,142.415,142.425,142.415,142.425,0,59
1748207400,142.425,142.431,142.425,142.43,0,15
1748207700,142.43,142.472,142.41,142.472,0,161
1748208000,142.472,142.50900000000001,142.46200000000002,142.496,0,171
1748208300,142.496,142.50300000000001,142.491,142.499,0,59
1748208600,142.499,142.528,142.495,142.528,0,96
1748208900,142.528,142.54,142.52700000000002,142.534,0,121
1748209200,142.534,142.534,142.518,142.524,0,21
1748209500,142.524,142.529,142.451,142.46200000000002,0,133
1748209800,142.46200000000002,142.46200000000002,142.455,142.46,0,39
1748210100,142.46,142.463,142.425,142.441,0,26
1748210400,142.441,142.65,142.441,142.648,0,746
1748210700,142.648,142.911,142.64600000000002,142.894,0,1762
1748211000,142.894,142.96,142.802,142.826,0,1846
1748211300,142.826,142.948,142.823,142.946,0,1604
1748211600,142.946,143.079,142.945,143.052,0,2161
1748211900,143.052,143.066,142.906,142.921,0,1495
1748212200,142.921,142.922,142.818,142.887,0,1271
1748212500,142.887,142.918,142.821,142.84,0,1202
1748212800,142.84,142.84300000000002,142.743,142.805,0,1159
1748213100,142.805,142.835,142.75300000000001,142.808,0,1015
1748213400,142.808,142.86,142.798,142.83700000000002,0,1246
1748213700,142.83700000000002,142.85,142.734,142.782,0,794
1748214000,142.782,142.839,142.75900000000001,142.803,0,835
1748214300,142.803,142.84,142.80100000000002,142.836,0,682
1748214600,142.836,142.842,142.75,142.787,0,825
1748214900,142.787,142.81300000000002,142.747,142.77100000000002,0,647
1748215200,142.77100000000002,142.838,142.75900000000001,142.802,0,684
1748215500,142.802,142.834,142.75400000000002,142.761,0,809
1748215800,142.761,142.817,142.743,142.812,0,907
1748216100,142.812,142.856,142.78900000000002,142.838,0,687
1748216400,142.838,142.911,142.838,142.88,0,976
1748216700,142.88,142.9,142.83100000000002,142.85500000000002,0,1257
1748217000,142.85500000000002,142.933,142.844,142.87,0,1060
1748217300,142.87,142.876,142.816,142.821,0,960
1748217600,142.821,142.847,142.69400000000002,142.74800000000002,0,2847
1748217900,142.74800000000002,142.876,142.735,142.83,0,1622
1748218200,142.83,142.85,142.776,142.785,0,2016
